"municipio_res","CVE_MUN","NOM_MUN","sector","grupoedad","sexo","fecha_ingreso","tipo_paciente","observaciones","confirmados","decesos","pruebas","confirmados_lab","descartados_lab","sospechosos","hospitalizados","uci","neumonia","intubado","ambulatorios","activos","hospitalizados_obs"
1,26001,"Aconchi","Estatal","15-29","Hombre",2022-08-09,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,1,0
1,26001,"Aconchi","Estatal","30-59","Mujer",2022-08-09,"Ambulatorio",1,1,0,0,0,0,0,0,0,0,0,1,1,0
1,26001,"Aconchi","IMSS","0-14","Hombre",2022-07-09,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
1,26001,"Aconchi","IMSS","30-59","Mujer",2022-06-27,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
1,26001,"Aconchi","IMSS","60 o más","Hombre",2022-01-15,"Ambulatorio",1,0,0,1,0,1,0,0,0,0,0,0,0,0
1,26001,"Aconchi","IMSS","60 o más","Hombre",2022-06-22,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
1,26001,"Aconchi","IMSS","60 o más","Hombre",2022-07-28,"Hospitalizado",1,1,0,1,1,0,0,1,0,2,1,0,0,1
1,26001,"Aconchi","SSA","15-29","Hombre",2022-01-17,"Ambulatorio",1,0,0,1,0,1,0,0,0,0,0,0,0,0
1,26001,"Aconchi","SSA","30-59","Mujer",2022-08-17,"Hospitalizado",1,1,0,1,1,0,0,1,0,2,1,0,1,1
1,26001,"Aconchi","SSA","60 o más","Hombre",2022-01-21,"Hospitalizado",1,1,0,1,1,0,0,1,0,2,1,0,0,1
2,26002,"Agua Prieta","Estatal","30-59","Mujer",2022-05-17,"Hospitalizado",1,1,0,1,1,0,0,1,0,1,1,0,0,1
2,26002,"Agua Prieta","IMSS","0-14","Hombre",2022-01-14,"Hospitalizado",1,1,0,1,1,0,0,1,0,2,1,0,0,1
2,26002,"Agua Prieta","IMSS","0-14","Hombre",2022-01-21,"Hospitalizado",1,1,0,1,1,0,0,1,0,1,1,0,0,1
2,26002,"Agua Prieta","IMSS","0-14","Hombre",2022-01-26,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","0-14","Hombre",2022-01-31,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","0-14","Hombre",2022-02-02,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","0-14","Hombre",2022-06-24,"Hospitalizado",1,0,0,1,0,1,0,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","0-14","Hombre",2022-07-06,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","0-14","Hombre",2022-07-13,"Ambulatorio",2,2,0,2,2,0,0,0,0,0,0,2,0,0
2,26002,"Agua Prieta","IMSS","0-14","Hombre",2022-08-06,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-01-07,"Ambulatorio",1,0,0,1,0,1,0,0,0,0,0,0,0,0
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-01-19,"Ambulatorio",2,2,0,2,2,0,0,0,0,0,0,2,0,0
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-01-23,"Hospitalizado",1,0,0,1,0,1,0,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-01-25,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-01-26,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-02-02,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-02-08,"Hospitalizado",1,1,0,1,1,0,0,1,0,2,1,0,0,1
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-07-08,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-07-12,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-07-20,"Ambulatorio",2,2,0,2,2,0,0,0,0,0,0,2,0,0
2,26002,"Agua Prieta","IMSS","0-14","Mujer",2022-07-22,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-04,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-07,"Ambulatorio",5,3,0,5,3,2,0,0,0,0,0,3,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-08,"Hospitalizado",1,0,0,1,0,1,0,0,0,0,0,0,0,1
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-10,"Ambulatorio",1,0,0,1,0,1,0,0,0,0,0,0,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-11,"Ambulatorio",2,1,0,2,1,1,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-12,"Ambulatorio",2,2,0,2,2,0,0,0,0,0,0,2,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-13,"Ambulatorio",4,4,0,4,4,0,0,0,0,0,0,4,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-15,"Ambulatorio",2,1,0,2,1,1,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-17,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-18,"Ambulatorio",4,4,0,4,4,0,0,0,0,0,0,4,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-19,"Ambulatorio",6,6,0,6,6,0,0,0,0,0,0,6,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-19,"Hospitalizado",1,1,0,1,1,0,0,1,0,1,1,0,0,1
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-20,"Ambulatorio",2,2,0,2,2,0,0,0,0,0,0,2,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-21,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-24,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-25,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-26,"Ambulatorio",4,4,0,4,4,0,0,0,0,0,0,4,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-27,"Ambulatorio",4,4,0,4,4,0,0,0,0,0,0,4,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-01-28,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-02-04,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-02-09,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-02-21,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-02-22,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-06-22,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-06-30,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-07-08,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-07-11,"Ambulatorio",1,0,0,1,0,1,0,0,0,0,0,0,0,0
2,26002,"Agua Prieta","IMSS","15-29","Hombre",2022-07-12,"Ambulatorio",1,1,0,1,1,0,0,0,0,0,0,1,0,0
