"","Fecha","CVEGEO","MUNICIPIO","CASOS_SINTOMAS"
"1",2020-01-01,26018,"Cajeme",0
"2",2020-01-01,26030,"Hermosillo",0
"3",2020-01-01,26055,"San Luis Río Colorado",0
"4",2020-01-01,26058,"Santa Ana",0
"5",2020-01-01,26042,"Navojoa",0
"6",2020-01-01,26043,"Nogales",0
"7",2020-01-01,26011,"Bacoachi",0
"8",2020-01-01,26002,"Agua Prieta",0
"9",2020-01-01,26036,"Magdalena",0
"10",2020-01-01,26048,"Puerto Peñasco",0
"11",2020-01-01,26029,"Guaymas",0
"12",2020-01-01,26999,"Sin municipio registrado",0
"13",2020-01-01,26025,"Empalme",0
"14",2020-01-01,26033,"Huatabampo",0
"15",2020-01-01,26047,"Pitiquito",0
"16",2020-01-01,26017,"Caborca",0
"17",2020-01-01,26004,"Altar",0
"18",2020-01-01,26012,"Bácum",0
"19",2020-01-01,26072,"San Ignacio Río Muerto",0
"20",2020-01-01,26071,"Benito Juárez",0
"21",2020-01-01,26052,"Sahuaripa",0
"22",2020-01-01,26003,"Álamos",0
"23",2020-01-01,26037,"Mazatán",0
"24",2020-01-01,26049,"Quiriego",0
"25",2020-01-01,26066,"Ures",0
"26",2020-01-01,26027,"Fronteras",0
"27",2020-01-01,26007,"Átil",0
"28",2020-01-01,26019,"Cananea",0
"29",2020-01-01,26034,"Huépac",0
"30",2020-01-01,26041,"Nacozari de García",0
"31",2020-01-01,26014,"Baviácora",0
"32",2020-01-01,26026,"Etchojoa",0
"33",2020-01-01,26064,"Trincheras",0
"34",2020-01-01,26060,"Sáric",0
"35",2020-01-01,26067,"Villa Hidalgo",0
"36",2020-01-01,26045,"Opodepe",0
"37",2020-01-01,26008,"Bacadéhuachi",0
"38",2020-01-01,26070,"General Plutarco Elías Calles",0
"39",2020-01-01,26013,"Banámichi",0
"40",2020-01-01,26068,"Villa Pesqueira",0
"41",2020-01-01,26001,"Aconchi",0
"42",2020-01-01,26039,"Naco",0
"43",2020-01-01,26044,"Ónavas",0
"44",2020-01-01,26035,"Imuris",0
"45",2020-01-01,26020,"Carbó",0
"46",2020-01-01,26038,"Moctezuma",0
"47",2020-01-01,26065,"Tubutama",0
"48",2020-01-01,26016,"Benjamín Hill",0
"49",2020-01-01,26023,"Cumpas",0
