"Fecha","entidad_res","entidad_residencia","Casos_sintomas","Decesos_sintomas","Hospitalizados_sintomas","Decesos_ocurridos","Hospitalizados_ingresos"
2020-02-19,15,"México",1,0,0,NA,NA
2020-02-22,9,"Ciudad de México",1,0,1,NA,NA
2020-02-22,13,"Hidalgo",1,0,0,NA,NA
2020-02-23,9,"Ciudad de México",1,0,0,NA,NA
2020-02-25,7,"Chiapas",1,0,0,NA,NA
2020-02-26,15,"México",1,1,1,NA,NA
2020-02-27,5,"Coahuila",1,0,0,NA,NA
2020-02-27,15,"México",1,0,0,NA,0
2020-02-28,9,"Ciudad de México",2,0,0,NA,NA
2020-02-28,20,"Oaxaca",1,0,1,NA,NA
2020-02-29,5,"Coahuila",1,0,0,NA,NA
2020-02-29,9,"Ciudad de México",1,0,0,NA,NA
2020-02-29,15,"México",3,1,1,NA,1
2020-03-01,9,"Ciudad de México",4,0,1,NA,NA
2020-03-01,11,"Guanajuato",3,0,0,NA,0
2020-03-01,14,"Jalisco",2,0,0,NA,NA
2020-03-01,23,"Quintana Roo",1,0,1,NA,NA
2020-03-01,25,"Sinaloa",1,1,1,NA,NA
2020-03-02,9,"Ciudad de México",6,0,0,NA,NA
2020-03-02,11,"Guanajuato",4,0,0,NA,0
2020-03-02,15,"México",4,2,2,NA,1
2020-03-02,17,"Morelos",1,0,0,NA,NA
2020-03-02,18,"Nayarit",1,0,0,NA,NA
2020-03-02,19,"Nuevo León",2,0,0,NA,NA
2020-03-02,32,"Zacatecas",1,0,0,NA,NA
2020-03-03,9,"Ciudad de México",7,1,2,NA,0
2020-03-03,11,"Guanajuato",7,0,0,NA,0
2020-03-03,15,"México",3,1,3,NA,1
2020-03-03,30,"Veracruz",1,0,0,NA,NA
2020-03-03,32,"Zacatecas",1,0,0,NA,0
2020-03-04,5,"Coahuila",1,0,1,NA,NA
2020-03-04,9,"Ciudad de México",5,1,1,NA,0
2020-03-04,11,"Guanajuato",3,0,0,NA,0
2020-03-04,14,"Jalisco",1,0,0,NA,NA
2020-03-04,15,"México",3,1,1,NA,1
2020-03-04,19,"Nuevo León",1,0,0,NA,0
2020-03-04,27,"Tabasco",1,1,1,NA,1
2020-03-05,9,"Ciudad de México",4,0,0,NA,2
2020-03-05,11,"Guanajuato",3,0,0,NA,0
2020-03-05,15,"México",1,0,0,NA,0
