"","fecha_sintomas","casos24","casos17","diferencia"
"1",2020-03-10,1,1,0
"2",2020-03-11,2,2,0
"3",2020-03-12,2,2,0
"4",2020-03-13,1,1,0
"5",2020-03-15,1,1,0
"6",2020-03-16,2,2,0
"7",2020-03-17,5,5,0
"8",2020-03-18,1,1,0
"9",2020-03-19,2,2,0
"10",2020-03-20,2,2,0
"11",2020-03-22,5,5,0
"12",2020-03-23,3,3,0
"13",2020-03-24,3,3,0
"14",2020-03-25,2,2,0
"15",2020-03-26,4,4,0
"16",2020-03-27,5,5,0
"17",2020-03-28,5,5,0
"18",2020-03-30,1,1,0
"19",2020-03-31,4,4,0
"20",2020-04-01,13,13,0
"21",2020-04-02,3,3,0
"22",2020-04-03,5,5,0
"23",2020-04-04,11,11,0
"24",2020-04-05,12,12,0
"25",2020-04-06,25,25,0
"26",2020-04-07,14,14,0
"27",2020-04-08,13,13,0
"28",2020-04-09,14,14,0
"29",2020-04-10,17,17,0
"30",2020-04-11,9,9,0
"31",2020-04-12,7,7,0
"32",2020-04-13,8,8,0
"33",2020-04-14,18,18,0
"34",2020-04-15,5,5,0
"35",2020-04-16,16,16,0
"36",2020-04-17,16,16,0
"37",2020-04-18,19,19,0
"38",2020-04-19,14,14,0
"39",2020-04-20,23,23,0
"40",2020-04-21,14,14,0
"41",2020-04-22,19,19,0
"42",2020-04-23,22,22,0
"43",2020-04-24,29,29,0
"44",2020-04-25,28,28,0
"45",2020-04-26,22,22,0
"46",2020-04-27,42,42,0
"47",2020-04-28,34,34,0
"48",2020-04-29,36,36,0
"49",2020-04-30,59,59,0
"50",2020-05-01,58,58,0
"51",2020-05-02,57,57,0
"52",2020-05-03,48,48,0
"53",2020-05-04,68,68,0
"54",2020-05-05,57,57,0
"55",2020-05-06,66,66,0
"56",2020-05-07,84,84,0
"57",2020-05-08,74,74,0
"58",2020-05-09,80,80,0
"59",2020-05-10,109,109,0
"60",2020-05-11,105,105,0
"61",2020-05-12,97,97,0
"62",2020-05-13,99,99,0
"63",2020-05-14,107,107,0
"64",2020-05-15,194,194,0
"65",2020-05-16,184,184,0
