cve_ent,poblacion,nombre,tasa_son,size_factor
1,1434635,Aguascalientes,0.519463087,61602.06718
2,3634868,Baja California,1.762416107,18156.89261
3,804708,Baja California Sur,1.451006711,22053.65402
4,1000617,Campeche,0.420134228,76166.13419
7,5730367,Chiapas,0.297986577,107387.3874
8,3801487,Chihuahua,1.661744966,19256.86591
9,9018645,Ciudad de México,10.47785235,3054.060979
5,3218720,Coahuila,1.248322148,25634.4086
6,785153,Colima,0.64966443,49256.19835
10,1868996,Durango,0.691275168,46291.26214
11,6228175,Guanajuato,1.767785235,18101.74639
12,3657048,Guerrero,1.326174497,24129.55466
13,3086414,Hidalgo,0.738255034,43345.45455
14,8409693,Jalisco,2.099328859,15242.96675
15,17427790,Estado de México,3.467114094,9229.57801
16,4825401,Michoacán,0.719463087,44477.61194
17,2044058,Morelos,0.955704698,33483.14607
18,1288571,Nayarit,0.817449664,39146.14122
19,5610153,Nuevo León,2.558389262,12507.86988
20,4143593,Oaxaca,0.906040268,35318.51852
21,6604451,Puebla,1.060402685,30177.21519
22,2279637,Querétaro,1.102013423,29037.75883
23,1723259,Quintana Roo,1.330201342,24056.50858
24,2866142,San Luis Potosí,1.873825503,17077.3639
25,3156674,Sinaloa,1.193288591,26816.64792
26,3074745,Sonora,1,32000
27,2572287,Tabasco,2.025503356,15798.54208
28,3650602,Tamaulipas,1.014765101,31534.39153
29,1380011,Tlaxcala,0.291275168,109861.7512
30,8539862,Veracruz,1.590604027,20118.14346
31,2259098,Yucatán,1.122147651,28516.74641
32,1666426,Zacatecas,0.989261745,32347.35414
99,127792286,México,38.38255034,833.7121874
