"Estado","% Ocupación","Fecha","Tipo","Pob_Total"
"Sonora",3.44,2020-04-07,"General",2109152
"Sonora",4,2020-04-08,"Ventilador",2109152
"Sonora",2.56,2020-04-08,"UCI",2109152
"Sonora",12.35,2020-04-08,"General",2109152
"Sonora",4.76,2020-04-09,"UCI",2109152
"Sonora",8.18,2020-04-09,"General",2109152
"Sonora",3.12,2020-04-09,"Ventilador",2109152
"Sonora",8.25,2020-04-10,"General",2109152
"Sonora",3.12,2020-04-10,"Ventilador",2109152
"Sonora",13.7,2020-04-11,"General",2109152
"Sonora",10,2020-04-11,"UCI",2109152
"Sonora",3.37,2020-04-11,"Ventilador",2109152
"Sonora",11.76,2020-04-12,"UCI",2109152
"Sonora",11.81,2020-04-12,"General",2109152
"Sonora",3.44,2020-04-12,"Ventilador",2109152
"Sonora",11.76,2020-04-13,"UCI",2109152
"Sonora",3.48,2020-04-13,"Ventilador",2109152
"Sonora",9.52,2020-04-13,"General",2109152
"Sonora",2.27,2020-04-14,"Ventilador",2109152
"Sonora",7.25,2020-04-14,"General",2109152
"Sonora",11.11,2020-04-14,"UCI",2109152
"Sonora",6.87,2020-04-15,"General",2109152
"Sonora",2.19,2020-04-15,"Ventilador",2109152
"Sonora",11.11,2020-04-15,"UCI",2109152
"Sonora",1.17,2020-04-16,"Ventilador",2109152
"Sonora",8.49,2020-04-16,"General",2109152
"Sonora",16.66,2020-04-16,"UCI",2109152
"Sonora",1.19,2020-04-17,"Ventilador",2109152
"Sonora",11.97,2020-04-17,"General",2109152
"Sonora",16.66,2020-04-17,"UCI",2109152
"Sonora",13.01,2020-04-18,"General",2109152
"Sonora",2.1,2020-04-18,"Ventilador",2109152
"Sonora",23.52,2020-04-18,"UCI",2109152
"Sonora",14.76,2020-04-19,"General",2109152
"Sonora",22.22,2020-04-19,"UCI",2109152
"Sonora",1.09,2020-04-19,"Ventilador",2109152
"Sonora",8.41,2020-04-20,"General",2109152
"Sonora",1.4,2020-04-20,"Ventilador",2109152
"Sonora",22.22,2020-04-20,"UCI",2109152
"Sonora",15,2020-04-21,"UCI",2109152
"Sonora",0.74,2020-04-21,"Ventilador",2109152
"Sonora",7.93,2020-04-21,"General",2109152
"Sonora",8.08,2020-04-22,"General",2109152
"Sonora",1.84,2020-04-22,"Ventilador",2109152
"Sonora",5,2020-04-22,"UCI",2109152
"Sonora",8.33,2020-04-23,"UCI",2109152
"Sonora",2.51,2020-04-23,"Ventilador",2109152
"Sonora",7.67,2020-04-23,"General",2109152
"Sonora",6.94,2020-04-24,"Ventilador",2109152
"Sonora",16.12,2020-04-24,"UCI",2109152
"Sonora",6.84,2020-04-24,"General",2109152
"Sonora",16.66,2020-04-25,"UCI",2109152
"Sonora",3.03,2020-04-25,"Ventilador",2109152
"Sonora",7.65,2020-04-25,"General",2109152
"Sonora",2.44,2020-04-26,"Ventilador",2109152
"Sonora",8.54,2020-04-26,"General",2109152
"Sonora",15.15,2020-04-26,"UCI",2109152
"Sonora",3.48,2020-04-27,"Ventilador",2109152
"Sonora",19.04,2020-04-27,"UCI",2109152
"Sonora",8.31,2020-04-27,"General",2109152
"Sonora",12.5,2020-04-28,"UCI",2109152
"Sonora",7.93,2020-04-28,"General",2109152
"Sonora",2.42,2020-04-28,"Ventilador",2109152
"Sonora",7.74,2020-04-29,"General",2109152
"Sonora",14.03,2020-04-29,"UCI",2109152
"Sonora",3.24,2020-04-29,"Ventilador",2109152
"Sonora",2.41,2020-04-30,"Ventilador",2109152
"Sonora",15.62,2020-04-30,"UCI",2109152
"Sonora",6.42,2020-04-30,"General",2109152
"Sonora",14.63,2020-05-01,"UCI",2109152
"Sonora",7.02,2020-05-01,"General",2109152
"Sonora",4.37,2020-05-01,"Ventilador",2109152
"Sonora",7.4,2020-05-02,"General",2109152
"Sonora",2.51,2020-05-02,"Ventilador",2109152
"Sonora",13.79,2020-05-02,"UCI",2109152
"Sonora",5.51,2020-05-03,"Ventilador",2109152
"Sonora",7.97,2020-05-03,"General",2109152
"Sonora",17.07,2020-05-03,"UCI",2109152
"Sonora",8.03,2020-05-04,"General",2109152
"Sonora",4.06,2020-05-04,"Ventilador",2109152
"Sonora",17.85,2020-05-04,"UCI",2109152
"Sonora",6.8,2020-05-05,"General",2109152
"Sonora",5.69,2020-05-05,"Ventilador",2109152
"Sonora",14.28,2020-05-05,"UCI",2109152
"Sonora",14.28,2020-05-06,"UCI",2109152
"Sonora",5.09,2020-05-06,"Ventilador",2109152
"Sonora",8,2020-05-06,"General",2109152
"Sonora",9.38,2020-05-07,"General",2109152
"Sonora",6.43,2020-05-07,"Ventilador",2109152
"Sonora",13.79,2020-05-07,"UCI",2109152
"Sonora",16.66,2020-05-08,"UCI",2109152
"Sonora",12.72,2020-05-08,"General",2109152
"Sonora",4.72,2020-05-08,"Ventilador",2109152
"Sonora",3.93,2020-05-09,"Ventilador",2109152
"Sonora",13.77,2020-05-09,"General",2109152
"Sonora",18.18,2020-05-09,"UCI",2109152
"Sonora",16.66,2020-05-10,"UCI",2109152
"Sonora",4.87,2020-05-10,"Ventilador",2109152
"Sonora",13.81,2020-05-10,"General",2109152
"Sonora",11.8,2020-05-11,"General",2109152
"Sonora",13.79,2020-05-11,"UCI",2109152
"Sonora",5.52,2020-05-11,"Ventilador",2109152
"Sonora",18.51,2020-05-12,"UCI",2109152
"Sonora",11.37,2020-05-12,"General",2109152
"Sonora",9.2,2020-05-12,"Ventilador",2109152
"Sonora",23.33,2020-05-13,"UCI",2109152
"Sonora",14.53,2020-05-13,"General",2109152
"Sonora",8.8,2020-05-13,"Ventilador",2109152
"Sonora",11.79,2020-05-14,"Ventilador",2109152
"Sonora",14.66,2020-05-14,"General",2109152
"Sonora",40,2020-05-14,"UCI",2109152
"Sonora",39.39,2020-05-15,"UCI",2109152
"Sonora",16.94,2020-05-15,"General",2109152
"Sonora",13.18,2020-05-15,"Ventilador",2109152
"Sonora",21.57,2020-05-16,"General",2109152
