"","fecha_reporte","Analizados","Resultados_lab","Confirmados_lab","Descartados_lab","Sospechosos","Casos","C_M","C_H","Decesos","D_M","D_H","Ambulatorios","Hospitalizados","Graves","Criticos","UCI","Recuperados","Activos","Hospitalizados.Activos","Ambulatorios.Activos","Decesos.Activos","C_IMSS","D_IMSS","C_SSA","D_SSA","C_Estatal","D_Estatal","C_Municipal","D_Municipal","C_ISSSTE","D_ISSSTE","C_Privada","D_Privada","C_SEDENA","D_SEDENA","C_SEMAR","D_SEMAR","C_PEMEX","D_PEMEX","C_0_14","D_0_14","C_15_29","D_15_29","C_30_59","D_30_59","C_60_mas","D_60_mas"
"1",2020-04-12,89,62,17,45,27,17,9,8,0,0,0,10,7,39,9,1,6,11,2,9,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,1,0
"2",2020-04-13,90,69,19,50,21,19,9,10,0,0,0,11,8,40,10,1,6,13,3,10,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0,1,0
"3",2020-04-14,107,69,19,50,38,19,9,10,0,0,0,11,8,42,10,1,7,12,2,10,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0,1,0
"4",2020-04-15,118,71,19,52,47,19,9,10,0,0,0,11,8,44,10,1,10,9,1,8,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0,1,0
"5",2020-04-16,120,77,24,53,43,24,9,15,1,1,0,16,8,45,10,1,9,14,1,13,0,5,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,1,2,0
"6",2020-04-17,124,81,34,47,43,34,14,20,1,1,0,23,11,47,13,1,11,22,3,19,0,8,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,26,1,3,0
"7",2020-04-18,124,88,35,53,36,35,14,21,1,1,0,23,12,48,14,1,12,22,4,18,0,8,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,27,1,3,0
"8",2020-04-19,124,98,40,58,26,40,17,23,1,1,0,28,12,48,14,1,14,25,4,21,0,9,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,31,1,4,0
"9",2020-04-20,125,98,40,58,27,40,17,23,1,1,0,28,12,49,15,1,24,15,3,12,0,9,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,31,1,4,0
"10",2020-04-21,128,102,43,59,26,43,17,26,1,1,0,30,13,56,16,1,29,13,2,11,0,11,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,33,1,4,0
"11",2020-04-22,148,121,51,70,27,51,21,30,1,1,0,35,16,70,19,1,36,14,2,12,0,18,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,37,1,7,0
"12",2020-04-23,163,136,56,80,27,56,23,33,2,1,1,38,18,75,21,1,40,15,3,11,1,19,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,40,2,9,0
"13",2020-04-24,167,140,59,81,27,59,25,34,2,1,1,41,18,77,21,1,45,12,2,10,0,19,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,43,2,9,0
"14",2020-04-25,176,155,56,99,21,56,24,32,3,2,1,38,18,79,21,1,43,10,1,9,0,19,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,42,2,9,1
"15",2020-04-26,187,173,68,105,14,68,34,34,3,2,1,45,23,84,26,1,49,16,4,12,0,28,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,50,2,12,1
"16",2020-04-27,191,178,70,108,13,70,35,35,3,2,1,46,24,85,27,1,51,16,5,11,0,28,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,50,2,14,1
"17",2020-04-28,223,192,77,115,31,77,38,39,3,2,1,50,27,93,30,1,60,14,3,11,0,32,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,53,2,16,1
"18",2020-04-29,238,194,79,115,44,79,40,39,3,2,1,49,30,99,33,1,61,15,4,11,0,34,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,54,2,17,1
"19",2020-04-30,250,204,79,125,46,79,40,39,3,2,1,49,30,101,33,1,68,8,2,6,0,34,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,54,2,17,1
"20",2020-05-01,256,214,89,125,42,89,46,43,3,2,1,58,31,103,34,1,76,10,2,8,0,34,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,60,2,18,1
"21",2020-05-02,256,221,93,128,35,93,46,47,3,2,1,62,31,103,34,1,84,6,1,5,0,34,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,63,2,18,1
"22",2020-05-03,254,225,97,128,29,97,47,50,3,2,1,64,33,105,36,1,84,10,3,7,0,34,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,64,2,20,1
"23",2020-05-04,260,231,101,130,29,101,50,51,3,2,1,66,35,106,38,1,89,9,3,6,0,35,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,65,2,22,1
"24",2020-05-05,289,246,110,136,43,110,53,57,3,2,1,69,41,113,44,1,98,9,3,6,0,44,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,70,2,26,1
"25",2020-05-06,292,255,113,142,37,113,54,59,7,4,3,73,40,112,43,1,97,9,3,6,0,47,5,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,71,4,28,3
"26",2020-05-07,303,267,117,150,36,117,54,63,7,4,3,77,40,113,43,1,100,10,3,7,0,47,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,74,4,28,3
"27",2020-05-08,312,277,127,150,35,127,57,70,7,4,3,85,42,115,45,1,105,15,4,11,0,48,5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,80,4,29,3
"28",2020-05-09,314,278,128,150,36,128,57,71,7,4,3,86,42,114,45,1,110,11,1,10,0,48,5,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,80,4,29,3
"29",2020-05-10,321,287,128,159,34,128,57,71,7,4,3,86,42,115,45,1,113,8,0,8,0,48,5,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,80,4,29,3
