"fecha_ingreso","Analizados","Resultados_lab","Confirmados_lab","Descartados_lab","Sospechosos","Casos","C_M","C_H","Decesos","D_M","D_H","Ambulatorios","Hospitalizados","Graves","Criticos","UCI","C_IMSS","D_IMSS","C_SSA","D_SSA","C_Estatal","D_Estatal","C_Municipal","D_Municipal","C_ISSSTE","D_ISSSTE","C_Privada","D_Privada","C_SEDENA","D_SEDENA","C_SEMAR","D_SEMAR","C_PEMEX","D_PEMEX","C_0_14","D_0_14","C_15_29","D_15_29","C_30_59","D_30_59","C_60_mas","D_60_mas","Hospitalizados_observados"
2022-01-01,11,10,7,3,1,7,3,4,0,0,0,7,0,0,0,0,1,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0
2022-01-02,73,71,32,39,0,34,19,15,1,1,0,32,2,8,2,0,18,1,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,16,0,6,1,5
2022-01-03,374,362,184,178,5,191,125,66,2,2,0,186,5,19,7,0,116,2,58,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,52,0,121,1,13,1,13
2022-01-04,898,883,500,383,5,510,316,194,3,1,2,502,8,29,11,1,309,1,130,0,56,0,0,0,15,0,0,0,0,0,0,0,0,0,9,1,143,0,326,1,32,1,19
2022-01-05,1480,1454,791,663,8,808,515,293,2,2,0,798,10,32,12,1,416,0,316,0,62,1,0,0,14,0,0,0,0,0,0,0,0,0,25,0,250,0,486,1,47,1,23
2022-01-06,1595,1569,904,665,7,918,553,365,3,2,1,907,11,28,13,0,514,1,289,0,98,1,0,0,16,0,1,0,0,0,0,0,0,0,29,0,275,0,565,1,49,2,20
2022-01-07,1873,1822,1102,720,14,1138,687,451,6,4,2,1121,17,47,18,1,597,5,394,0,112,0,0,0,33,0,1,0,1,0,0,0,0,0,25,0,342,0,705,3,66,3,31
2022-01-08,884,859,473,386,10,488,280,208,8,3,5,467,21,54,25,1,276,6,163,0,48,2,0,0,0,0,1,0,0,0,0,0,0,0,23,0,132,0,301,3,32,5,38
2022-01-09,839,825,513,312,7,519,307,212,7,2,5,496,23,52,25,0,286,5,212,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,143,0,323,1,40,6,36
2022-01-10,2633,2584,1687,897,19,1716,1043,673,14,7,7,1688,28,66,35,4,1032,7,559,0,105,1,0,0,20,2,0,0,0,0,0,0,0,0,31,1,446,0,1133,4,106,9,51
2022-01-11,2715,2672,1836,836,18,1860,1080,780,15,6,9,1819,41,84,44,2,1193,9,531,0,107,1,0,0,28,1,1,0,0,0,0,0,0,0,39,0,502,0,1215,6,104,9,63
2022-01-12,2709,2667,1887,780,14,1912,1135,777,17,5,12,1867,45,88,47,2,1263,12,489,0,132,1,0,0,25,2,0,0,0,0,3,0,0,0,47,0,549,0,1207,5,109,12,54
2022-01-13,2615,2567,1903,664,18,1930,1146,784,11,4,7,1900,30,64,33,1,1325,9,481,0,93,0,0,0,31,0,0,0,0,0,0,0,0,0,58,0,584,0,1167,4,121,7,43
2022-01-14,2185,2138,1580,558,26,1598,938,660,17,6,11,1562,36,74,39,1,1044,12,454,0,81,1,0,0,19,1,0,0,0,0,0,0,0,0,47,1,482,0,972,4,97,12,50
2022-01-15,925,901,650,251,8,666,402,264,21,10,11,629,37,70,39,0,395,16,214,0,57,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,181,0,409,7,58,14,48
2022-01-16,988,956,736,220,6,762,479,283,16,9,7,737,25,50,30,3,526,11,201,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,201,0,494,3,50,13,35
2022-01-17,2290,2230,1741,489,18,1780,1079,701,17,9,8,1735,45,88,48,1,1228,9,448,0,84,1,0,0,19,1,1,1,0,0,0,0,0,0,36,1,470,0,1135,2,139,14,71
2022-01-18,2114,2058,1610,448,22,1642,1010,632,19,7,12,1590,52,102,57,1,1078,12,429,0,112,0,0,0,22,1,1,0,0,0,0,0,0,0,49,0,409,0,1074,3,110,16,71
2022-01-19,1992,1942,1514,428,19,1543,922,621,21,11,10,1494,49,99,50,0,910,12,482,0,120,1,0,0,31,0,0,0,0,0,0,0,0,0,39,0,366,0,999,3,139,18,65
2022-01-20,2018,1864,1432,432,25,1555,914,641,16,3,13,1515,40,81,44,0,929,12,500,0,109,0,0,0,17,0,0,0,0,0,0,0,0,0,47,0,413,0,981,2,114,14,52
2022-01-21,1925,1808,1482,326,19,1578,946,632,21,11,10,1531,47,97,53,1,990,15,448,0,116,1,0,0,24,1,0,0,0,0,0,0,0,0,41,0,415,0,983,4,139,17,66
2022-01-22,917,871,721,150,15,752,459,293,10,7,3,729,23,48,25,1,544,8,166,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,202,0,465,1,63,9,35
2022-01-23,649,618,478,140,9,495,310,185,20,7,13,456,39,75,43,0,348,18,115,0,31,0,0,0,1,0,0,0,0,0,0,0,0,0,27,0,115,0,294,6,59,14,52
2022-01-24,2183,2063,1689,374,62,1744,991,753,22,10,12,1685,59,109,62,1,1063,17,485,0,143,0,0,0,52,1,0,0,0,0,0,0,1,0,44,0,365,0,1172,6,163,16,68
2022-01-25,1716,1626,1273,353,13,1348,801,547,27,10,17,1289,59,111,66,2,863,19,380,0,92,3,0,0,13,1,0,0,0,0,0,0,0,0,48,0,305,1,877,7,118,19,73
2022-01-26,1569,1484,1115,369,16,1183,678,505,24,9,15,1131,52,100,56,2,708,17,334,0,107,2,0,0,33,0,0,0,1,0,0,0,0,0,36,0,313,0,716,2,118,22,67
2022-01-27,1380,1299,1023,276,22,1080,614,466,23,5,18,1024,56,107,57,1,679,17,298,0,81,0,0,0,22,1,0,0,0,0,0,0,0,0,38,0,250,0,678,5,114,18,64
2022-01-28,1296,1224,926,298,24,973,587,386,23,9,14,926,47,93,50,0,579,15,281,0,86,0,0,0,27,1,0,0,0,0,0,0,0,0,42,0,252,0,572,5,107,18,55
2022-01-29,572,537,394,143,3,426,253,173,21,6,15,395,31,64,36,1,295,15,109,0,19,2,0,0,3,0,0,0,0,0,0,0,0,0,19,0,111,0,228,4,68,17,42
2022-01-30,450,432,332,100,5,345,201,144,15,8,7,310,35,70,40,1,250,10,80,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,80,0,202,1,53,14,51
2022-01-31,1401,1322,1022,300,8,1085,622,463,21,10,11,1041,44,88,51,1,641,10,324,0,94,3,0,0,24,1,1,0,0,0,1,0,0,0,33,0,275,1,654,2,123,18,58
2022-02-01,1106,1045,836,209,8,884,525,359,21,6,15,836,48,93,51,0,519,17,257,0,88,0,0,0,19,0,0,0,1,0,0,0,0,0,43,0,178,0,555,2,108,19,60
2022-02-02,1042,998,752,246,5,791,468,323,20,7,13,742,49,92,54,1,419,14,231,0,121,0,0,0,20,0,0,0,0,0,0,0,0,0,46,0,184,0,451,1,110,19,59
2022-02-03,860,824,581,243,4,613,380,233,24,10,14,566,47,101,54,1,311,18,195,0,84,0,0,0,21,0,0,0,1,0,0,0,1,0,31,0,150,0,351,3,81,21,69
2022-02-04,722,689,526,163,5,553,329,224,17,4,13,522,31,63,32,0,251,10,214,0,70,0,0,0,18,2,0,0,0,0,0,0,0,0,34,0,153,1,279,0,87,16,40
