"fecha_reporte","Analizados","Resultados_lab","Confirmados_lab","Descartados_lab","Sospechosos","Casos","C_M","C_H","Decesos","D_M","D_H","Ambulatorios","Hospitalizados","Graves","Criticos","UCI","Recuperados","Activos","Hospitalizados.Activos","Ambulatorios.Activos","Decesos.Activos","C_IMSS","D_IMSS","C_SSA","D_SSA","C_Estatal","D_Estatal","C_Municipal","D_Municipal","C_ISSSTE","D_ISSSTE","C_Privada","D_Privada","C_SEDENA","D_SEDENA","C_SEMAR","D_SEMAR","C_PEMEX","D_PEMEX","C_0_14","D_0_14","C_15_29","D_15_29","C_30_59","D_30_59","C_60_mas","D_60_mas"
2020-04-12,680,542,70,472,138,70,37,33,5,3,2,44,26,177,33,3,35,33,7,23,3,13,3,52,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,19,1,33,0,18,4
2020-04-13,704,573,75,498,131,75,40,35,9,7,2,46,29,182,36,3,32,36,9,25,2,17,3,53,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,19,1,36,0,20,8
2020-04-14,753,580,76,504,173,76,40,36,9,7,2,46,30,190,37,3,36,33,7,24,2,16,3,54,0,3,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,19,1,36,0,21,8
2020-04-15,798,621,81,540,177,81,43,38,9,7,2,50,31,196,38,3,46,27,4,22,1,18,3,57,0,3,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,19,1,40,0,22,8
2020-04-16,837,652,92,560,185,92,45,47,11,9,2,60,32,204,40,3,45,37,5,31,1,20,4,66,0,3,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,21,1,48,2,23,8
2020-04-17,844,647,102,545,197,102,50,52,11,9,2,65,37,216,46,3,51,40,8,32,0,25,4,71,0,3,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,22,1,56,2,24,8
2020-04-18,835,673,113,560,162,113,55,58,11,9,2,70,43,224,52,3,57,45,13,32,0,26,4,80,0,4,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,22,1,64,2,26,8
2020-04-19,844,711,122,589,133,122,61,61,13,11,2,77,45,228,54,4,59,51,13,37,1,31,6,84,0,4,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,20,1,73,2,28,10
2020-04-20,865,754,122,632,111,122,61,61,13,11,2,77,45,232,54,4,73,37,11,25,1,31,6,84,0,4,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,20,1,73,2,28,10
2020-04-21,871,784,119,665,87,119,58,61,14,12,2,78,41,231,50,4,79,28,6,20,2,32,6,81,0,3,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,21,1,72,3,26,10
2020-04-22,958,877,133,744,81,133,65,68,14,12,2,88,45,254,55,4,88,33,7,24,2,44,6,83,0,3,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,24,1,79,3,30,10
2020-04-23,992,918,140,778,74,140,69,71,17,13,4,92,48,267,59,5,95,32,5,23,4,46,7,88,0,3,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,23,1,83,4,34,12
2020-04-24,1023,960,151,809,63,151,76,75,17,13,4,98,53,281,64,5,106,30,7,21,2,49,7,94,0,3,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,25,1,92,4,34,12
2020-04-25,1081,998,150,848,83,150,75,75,20,15,5,97,53,289,64,5,103,29,5,22,2,47,8,93,0,5,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,23,1,93,5,34,14
2020-04-26,1118,1061,168,893,57,168,88,80,20,15,5,108,60,305,71,5,112,38,10,26,2,59,8,99,0,5,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,25,1,105,5,38,14
2020-04-27,1181,1108,183,925,73,183,94,89,20,15,5,120,63,322,74,6,116,47,12,35,0,61,8,107,0,10,2,0,0,4,0,1,0,0,0,0,0,0,0,1,0,27,1,112,5,43,14
2020-04-28,1287,1145,191,954,142,191,98,93,21,15,6,125,66,337,77,6,126,45,9,35,1,65,8,110,0,11,3,0,0,4,0,1,0,0,0,0,0,0,0,2,0,29,1,115,6,45,14
2020-04-29,1346,1180,203,977,166,203,104,99,22,15,7,131,72,358,83,8,129,53,11,41,1,69,9,115,0,14,3,0,0,4,0,1,0,0,0,0,0,0,0,2,0,31,1,122,6,48,15
2020-04-30,1419,1225,216,1009,194,216,113,103,22,15,7,142,74,371,85,8,141,54,9,44,1,70,9,121,0,19,3,0,0,5,0,1,0,0,0,0,0,0,0,2,0,32,1,132,6,50,15
2020-05-01,1479,1273,241,1032,206,241,126,115,24,15,9,164,77,378,88,8,153,66,9,55,2,71,10,143,0,21,3,0,0,5,0,1,0,0,0,0,0,0,0,2,0,41,1,144,6,54,17
2020-05-02,1510,1294,250,1044,216,250,128,122,24,15,9,173,77,384,88,8,172,55,6,48,1,71,10,151,0,21,3,0,0,5,0,1,0,0,0,1,0,0,0,2,0,46,1,148,6,54,17
2020-05-03,1551,1360,267,1093,191,267,133,134,24,15,9,186,81,396,94,8,178,66,8,57,1,77,10,162,0,21,3,0,0,5,0,1,0,0,0,1,0,0,0,2,0,51,1,158,6,56,17
2020-05-04,1603,1397,281,1116,206,281,138,143,24,15,9,197,84,409,98,8,197,61,7,53,1,78,10,173,0,23,3,0,0,5,0,1,0,0,0,1,0,0,0,2,0,55,1,166,6,58,17
2020-05-05,1708,1451,308,1143,257,308,151,157,24,15,9,217,91,432,106,8,215,70,7,62,1,89,10,187,0,25,3,0,0,5,0,1,0,0,0,1,0,0,0,3,0,62,1,181,6,62,17
2020-05-06,1800,1517,343,1174,283,343,160,183,29,17,12,249,94,452,109,10,233,83,7,74,2,105,14,205,0,26,3,0,0,5,0,1,0,0,0,1,0,0,0,3,0,73,1,200,8,67,20
2020-05-07,1900,1604,388,1216,296,388,175,213,30,18,12,281,107,477,122,11,256,103,16,86,1,116,15,233,0,31,3,0,0,6,0,1,0,0,0,1,0,0,0,3,0,83,1,232,8,70,21
2020-05-08,1994,1688,416,1272,306,416,186,230,30,18,12,300,116,501,131,11,279,108,22,85,1,123,15,253,0,32,3,0,0,6,0,1,0,0,0,1,0,0,0,4,0,88,1,250,8,74,21
2020-05-09,2117,1777,477,1300,340,477,202,275,31,19,12,352,125,523,140,13,305,142,22,119,1,137,16,292,0,40,3,0,0,6,0,1,0,0,0,1,0,0,0,6,0,103,1,290,9,78,21
2020-05-10,2226,1881,505,1376,345,505,213,292,32,20,12,369,136,544,153,13,325,150,28,120,2,151,17,304,0,41,3,0,0,6,0,1,0,0,0,2,0,0,0,6,0,109,1,308,9,82,22
2020-05-11,2278,1965,542,1423,313,542,231,311,33,20,13,396,146,559,163,15,348,163,28,133,2,159,18,331,0,43,3,0,0,6,0,1,0,0,0,2,0,0,0,8,0,111,1,330,9,93,23
2020-05-12,2425,2028,568,1460,397,568,243,325,37,22,15,420,148,574,165,15,371,162,24,136,2,161,21,351,0,47,3,0,0,6,0,1,0,0,0,2,0,0,0,8,0,115,1,351,10,94,26
2020-05-13,2581,2181,643,1538,400,643,263,380,38,23,15,484,159,601,177,16,395,213,29,181,3,172,22,406,0,56,3,0,0,6,0,1,0,0,0,2,0,0,0,10,0,128,1,403,10,102,27
2020-05-14,2801,2275,688,1587,526,688,286,402,39,23,16,522,166,627,185,17,435,217,29,185,3,186,22,432,0,61,3,0,0,6,0,1,0,0,0,2,0,0,0,10,0,141,1,434,10,103,28
2020-05-15,2954,2415,758,1657,539,758,316,442,42,25,17,578,180,656,200,17,484,234,26,206,2,220,24,459,0,70,3,0,0,6,0,1,0,0,0,2,0,0,0,11,0,149,1,486,10,112,31
2020-05-16,3137,2508,801,1707,629,801,329,472,43,25,18,618,183,680,205,17,522,237,21,215,1,222,25,494,0,75,3,0,0,7,0,1,0,0,0,2,0,0,0,12,0,161,1,513,11,115,31
2020-05-17,3233,2669,883,1786,564,883,369,514,45,25,20,681,202,709,224,17,563,277,29,246,2,249,27,542,0,81,3,0,0,8,0,1,0,0,0,2,0,0,0,14,0,179,1,567,11,123,33
2020-05-18,3317,2745,911,1834,572,911,383,528,46,25,21,690,221,752,245,17,619,247,38,208,1,277,27,542,0,81,3,0,0,8,0,1,0,0,0,2,0,0,0,14,0,180,1,586,11,131,34
2020-05-19,3579,2899,986,1913,680,986,422,564,53,28,25,746,240,816,269,21,655,280,48,230,2,293,30,593,0,89,3,0,0,8,0,1,0,0,0,2,0,0,0,14,0,193,1,636,15,143,37
2020-05-20,3794,2952,1021,1931,842,1021,440,581,58,30,28,762,259,856,289,21,708,259,51,204,4,314,32,603,0,93,3,0,0,8,0,1,0,0,0,2,0,0,0,14,0,202,1,655,18,150,39
