"fecha_sintomas","Analizados","Resultados_lab","Confirmados_lab","Descartados_lab","Sospechosos","Casos","C_M","C_H","Decesos","D_M","D_H","Ambulatorios","Hospitalizados","Graves","Criticos","UCI","C_IMSS","D_IMSS","C_SSA","D_SSA","C_Estatal","D_Estatal","C_Municipal","D_Municipal","C_ISSSTE","D_ISSSTE","C_Privada","D_Privada","C_SEDENA","D_SEDENA","C_SEMAR","D_SEMAR","C_PEMEX","D_PEMEX","C_0_14","D_0_14","C_15_29","D_15_29","C_30_59","D_30_59","C_60_mas","D_60_mas"
2022-01-01,1443,1403,765,638,11,792,487,305,12,8,4,766,26,64,29,0,289,9,413,0,61,1,0,0,28,0,1,0,0,0,0,0,0,0,22,0,217,0,465,3,88,9
2022-01-02,1375,1337,726,611,11,753,446,307,7,3,4,738,15,44,20,4,350,2,318,0,75,2,0,0,10,1,0,0,0,0,0,0,0,0,19,1,217,0,466,5,51,1
2022-01-03,1862,1821,1083,738,15,1106,689,417,13,7,6,1071,35,81,38,0,633,9,354,0,107,0,0,0,11,0,1,0,0,0,0,0,0,0,31,0,350,0,662,4,63,9
2022-01-04,1587,1551,913,638,7,940,575,365,10,5,5,919,21,59,24,2,532,8,296,0,80,0,0,0,31,0,1,0,0,0,0,0,0,0,22,0,272,0,586,3,60,7
2022-01-05,1618,1575,914,661,14,943,556,387,21,12,9,900,43,85,47,1,524,14,333,0,79,1,0,0,5,2,1,0,1,0,0,0,0,0,28,0,276,0,556,3,83,18
2022-01-06,1695,1656,993,663,17,1014,596,418,6,2,4,991,23,60,25,3,551,4,394,0,66,1,0,0,3,0,0,0,0,0,0,0,0,0,21,0,282,0,646,3,65,3
2022-01-07,1812,1778,1146,632,17,1162,701,461,16,9,7,1133,29,67,34,2,698,9,387,0,63,1,0,0,14,0,0,0,0,0,0,0,0,0,15,0,313,1,759,7,75,8
2022-01-08,2136,2103,1496,607,13,1516,914,602,14,7,7,1483,33,69,39,2,928,5,466,0,96,1,0,0,26,2,0,0,0,0,0,0,0,0,28,0,403,0,992,4,93,10
2022-01-09,2257,2219,1538,681,11,1562,928,634,14,5,9,1527,35,73,41,3,946,10,471,0,124,2,0,0,20,0,1,1,0,0,0,0,0,0,38,1,441,0,990,3,93,10
2022-01-10,2778,2717,1960,757,12,2004,1200,804,25,14,11,1946,58,124,63,2,1326,17,534,0,108,1,0,0,36,0,0,0,0,0,0,0,0,0,54,2,590,0,1217,6,143,17
2022-01-11,1835,1791,1354,437,22,1375,841,534,10,2,8,1352,23,47,26,1,985,9,309,0,72,0,0,0,7,0,1,0,0,0,1,0,0,0,37,0,384,0,857,2,97,8
2022-01-12,1677,1620,1255,365,15,1295,751,544,21,6,15,1256,39,78,41,0,871,13,349,0,58,0,0,0,15,3,0,0,0,0,2,0,0,0,49,0,378,0,780,3,88,18
2022-01-13,1525,1470,1100,370,10,1145,644,501,10,3,7,1117,28,58,30,0,758,8,312,0,72,0,0,0,3,0,0,0,0,0,0,0,0,0,36,0,302,0,737,2,70,8
