"","Fecha","Analizados","Resultados_lab","Confirmados_lab","Descartados_lab","Sospechosos","Casos","C_M","C_H","Decesos","D_M","D_H","Ambulatorios","Hospitalizados","Graves","Criticos","UCI","Recuperados","Activos","Hospitalizados.Activos","Ambulatorios.Activos","Decesos.Activos","C_IMSS","D_IMSS","C_SSA","D_SSA","C_Estatal","D_Estatal","C_Municipal","D_Municipal","C_ISSSTE","D_ISSSTE","C_Privada","D_Privada","C_SEDENA","D_SEDENA","C_SEMAR","D_SEMAR","C_PEMEX","D_PEMEX","C_0_14","D_0_14","C_15_29","D_15_29","C_30_59","D_30_59","C_60_mas","D_60_mas","Casos.diarios","Confirmados.diarios","Hospitalizados.diarios","Decesos.diarios","Casos.media.7d","Decesos.media.7d","Hospitalizados.media.7d","Resultados.diarios","Resultados.media.7d","Ambulatorios.Activos.7d","Sospechosos.7d","Sospechosos.diarios","Sospechosos.diarios.7d","Hospitalizados.Activos.7d","Incidencia","Letalidad","Mortalidad","Positividad.diaria","Positividad","Analizados.diarios","Analizados.media.7d"
"1",2020-05-02,1510,1294,250,1044,216,250,128,122,24,15,9,173,77,384,88,8,172,55,6,48,1,71,10,151,0,21,3,0,0,5,0,1,0,0,0,1,0,0,0,2,0,46,1,148,6,54,17,9,9,0,0,14.3,0.6,3.4,21,42.3,40.6,150.6,10,19,9.4,8.13,9.6,78.06,42.86,19.32,31,61.3
"2",2020-05-03,1551,1360,267,1093,191,267,133,134,24,15,9,186,81,396,94,8,178,66,8,57,1,77,10,162,0,21,3,0,0,5,0,1,0,0,0,1,0,0,0,2,0,51,1,158,6,56,17,17,17,4,0,14.1,0.6,3,66,42.7,45,169.7,-25,19.1,9.1,8.68,9,78.06,25.76,19.63,41,61.9
"3",2020-05-04,1603,1397,281,1116,206,281,138,143,24,15,9,197,84,409,98,8,197,61,7,53,1,78,10,173,0,23,3,0,0,5,0,1,0,0,0,1,0,0,0,2,0,55,1,166,6,58,17,14,14,3,0,14,0.6,3,37,41.3,47.6,188.7,15,19,8.4,9.14,8.5,78.06,37.84,20.11,52,60.3
"4",2020-05-05,1708,1451,308,1143,257,308,151,157,24,15,9,217,91,432,106,8,215,70,7,62,1,89,10,187,0,25,3,0,0,5,0,1,0,0,0,1,0,0,0,3,0,62,1,181,6,62,17,27,27,7,0,16.7,0.4,3.6,54,43.7,51.4,205.1,51,16.4,8.1,10.02,7.8,78.06,50,21.23,105,60.1
"5",2020-05-06,1800,1517,343,1174,283,343,160,183,29,17,12,249,94,452,109,10,233,83,7,74,2,105,14,205,0,26,3,0,0,5,0,1,0,0,0,1,0,0,0,3,0,73,1,200,8,67,20,35,35,3,5,20,1,3.1,66,48.1,56.1,221.9,26,16.7,7.6,11.16,8.5,94.32,53.03,22.61,92,64.9
"6",2020-05-07,1900,1604,388,1216,296,388,175,213,30,18,12,281,107,477,122,11,256,103,16,86,1,116,15,233,0,31,3,0,0,6,0,1,0,0,0,1,0,0,0,3,0,83,1,232,8,70,21,45,45,13,1,24.6,1.1,4.7,87,54.1,62.1,236.4,13,14.6,8.6,12.62,7.7,97.57,51.72,24.19,100,68.7
"7",2020-05-08,1994,1688,416,1272,306,416,186,230,30,18,12,300,116,501,131,11,279,108,22,85,1,123,15,253,0,32,3,0,0,6,0,1,0,0,0,1,0,0,0,4,0,88,1,250,8,74,21,28,28,9,0,25,0.9,5.6,84,59.3,66.4,250.7,10,14.3,10.4,13.53,7.2,97.57,33.33,24.64,94,73.6
"8",2020-05-09,2117,1777,477,1300,340,477,202,275,31,19,12,352,125,523,140,13,305,142,22,119,1,137,16,292,0,40,3,0,0,6,0,1,0,0,0,1,0,0,0,6,0,103,1,290,9,78,21,61,61,9,1,32.4,1,6.9,89,69,76.6,268.4,34,17.7,12.7,15.51,6.5,100.82,68.54,26.84,123,86.7
"9",2020-05-10,2226,1881,505,1376,345,505,213,292,32,20,12,369,136,544,153,13,325,150,28,120,2,151,17,304,0,41,3,0,0,6,0,1,0,0,0,2,0,0,0,6,0,109,1,308,9,82,22,28,28,11,1,34,1.1,7.9,104,74.4,85.6,290.4,5,22,15.6,16.42,6.3,104.07,26.92,26.85,109,96.4
"10",2020-05-11,2278,1965,542,1423,313,542,231,311,33,20,13,396,146,559,163,15,348,163,28,133,2,159,18,331,0,43,3,0,0,6,0,1,0,0,0,2,0,0,0,8,0,111,1,330,9,93,23,37,37,10,1,37.3,1.3,8.9,84,81.1,97,305.7,-32,15.3,18.6,17.63,6.1,107.33,44.05,27.58,52,96.4
"11",2020-05-12,2425,2028,568,1460,397,568,243,325,37,22,15,420,148,574,165,15,371,162,24,136,2,161,21,351,0,47,3,0,0,6,0,1,0,0,0,2,0,0,0,8,0,115,1,351,10,94,26,26,26,2,4,37.1,1.9,8.1,63,82.4,107.6,325.7,84,20,21,18.47,6.5,120.34,41.27,28.01,147,102.4
"12",2020-05-13,2581,2181,643,1538,400,643,263,380,38,23,15,484,159,601,177,16,395,213,29,181,3,172,22,406,0,56,3,0,0,6,0,1,0,0,0,2,0,0,0,10,0,128,1,403,10,102,27,75,75,11,1,42.9,1.3,9.3,153,94.9,122.9,342.4,3,16.7,24.1,20.91,5.9,123.59,49.02,29.48,156,111.6
"13",2020-05-14,2801,2275,688,1587,526,688,286,402,39,23,16,522,166,627,185,17,435,217,29,185,3,186,22,432,0,61,3,0,0,6,0,1,0,0,0,2,0,0,0,10,0,141,1,434,10,103,28,45,45,7,1,42.9,1.3,8.4,94,95.9,137,375.3,126,32.9,26,22.38,5.7,126.84,47.87,30.24,220,128.7
"14",2020-05-15,2954,2415,758,1657,539,758,316,442,42,25,17,578,180,656,200,17,484,234,26,206,2,220,24,459,0,70,3,0,0,6,0,1,0,0,0,2,0,0,0,11,0,149,1,486,10,112,31,70,70,14,3,48.9,1.7,9.1,140,103.9,154.3,408.6,13,33.3,26.6,24.65,5.5,136.6,50,31.39,153,137.1
