Fecha,CVEGEO,MUNICIPIO,CASOS CONFIRMADOS ACUMULADOS,CASOS CONFIRMADOS NUEVOS,DECESOS CONFIRMADOS ACUMULADOS,DECESOS CONFIRMADOS NUEVOS
01/09/2021,26030,Hermosillo,43769,85,2451,14
02/09/2021,26030,Hermosillo,43897,128,2458,7
03/09/2021,26030,Hermosillo,44054,157,2466,8
04/09/2021,26030,Hermosillo,44247,193,2479,13
05/09/2021,26030,Hermosillo,44294,47,2482,3
06/09/2021,26030,Hermosillo,44344,50,2485,3
07/09/2021,26030,Hermosillo,44414,70,2497,12
08/09/2021,26030,Hermosillo,44501,87,2511,14
09/09/2021,26030,Hermosillo,44591,90,2518,7
10/09/2021,26030,Hermosillo,44671,80,2524,6
11/09/2021,26030,Hermosillo,44780,109,2533,9
12/09/2021,26030,Hermosillo,44838,58,2535,2
13/09/2021,26030,Hermosillo,44873,35,2537,2
14/09/2021,26030,Hermosillo,44963,90,2543,6
15/09/2021,26030,Hermosillo,45112,149,2545,2
16/09/2021,26030,Hermosillo,45147,35,2549,4
17/09/2021,26030,Hermosillo,45161,14,2549,0
18/09/2021,26030,Hermosillo,45281,120,2552,3
19/09/2021,26030,Hermosillo,45308,27,2552,0
20/09/2021,26030,Hermosillo,45329,21,2557,5
21/09/2021,26030,Hermosillo,45412,83,2560,3
22/09/2021,26030,Hermosillo,45509,97,2567,7
23/09/2021,26030,Hermosillo,45626,117,2582,15
24/09/2021,26030,Hermosillo,45716,90,2610,28
25/09/2021,26030,Hermosillo,45802,86,2640,30
26/09/2021,26030,Hermosillo,45827,25,2642,2
