"","Fecha","Casos","Casos.media.7d","Casos.relativo","Decesos","Decesos.media.7d","Decesos.relativo","Hospitalizados","Hospitalizados.media.7d","Hospitalizados.relativo"
"1",2020-03-04,0,0,0,NA,NA,NA,0,0,0
"2",2020-03-05,0,0,0,NA,NA,NA,0,0,0
"3",2020-03-06,0,0,0,NA,NA,NA,0,0,0
"4",2020-03-07,0,0,0,NA,NA,NA,0,0,0
"5",2020-03-08,0,0,0,NA,NA,NA,0,0,0
"6",2020-03-09,0,0,0,NA,NA,NA,0,0,0
"7",2020-03-10,0,0,0,NA,NA,NA,0,0,0
"8",2020-03-11,1,0.1,0,0,0,0,0,0,0
"9",2020-03-12,1,0.3,0.001,0,0,0,0,0,0
"10",2020-03-13,0,0.3,0.001,NA,NA,NA,0,0,0
"11",2020-03-14,0,0.3,0.001,NA,NA,NA,0,0,0
"12",2020-03-15,1,0.4,0.002,NA,NA,NA,0,0,0
"13",2020-03-16,1,0.6,0.003,NA,NA,NA,0,0,0
"14",2020-03-17,4,1.1,0.005,NA,NA,NA,0,0,0
"15",2020-03-18,0,1,0.005,0,0,0,0,0,0
"16",2020-03-19,2,1.1,0.005,NA,NA,NA,0,0,0
"17",2020-03-20,0,1.1,0.005,NA,NA,NA,0,0,0
"18",2020-03-21,0,1.1,0.005,0,0,0,0,0,0
"19",2020-03-22,3,1.4,0.007,NA,NA,NA,0,0,0
"20",2020-03-23,1,1.4,0.007,NA,NA,NA,0,0,0
"21",2020-03-24,2,1.1,0.005,NA,NA,NA,0,0,0
"22",2020-03-25,0,1.1,0.005,0,0,0,0,0,0
"23",2020-03-26,0,0.9,0.004,NA,NA,NA,0,0,0
"24",2020-03-27,1,1,0.005,NA,NA,NA,0,0,0
"25",2020-03-28,3,1.4,0.007,NA,NA,NA,0,0,0
"26",2020-03-29,0,1,0.005,NA,NA,NA,0,0,0
"27",2020-03-30,0,0.9,0.004,0,0,0,0,0,0
"28",2020-03-31,0,0.6,0.003,NA,NA,NA,0,0,0
"29",2020-04-01,6,1.4,0.007,0,0,0,0,0,0
"30",2020-04-02,0,1.4,0.007,NA,NA,NA,0,0,0
"31",2020-04-03,0,1.3,0.006,NA,NA,NA,0,0,0
"32",2020-04-04,4,1.4,0.007,NA,NA,NA,0,0,0
"33",2020-04-05,0,1.4,0.007,NA,NA,NA,1,0.1,0.002
"34",2020-04-06,1,1.6,0.008,NA,NA,NA,1,0.3,0.007
"35",2020-04-07,1,1.7,0.008,NA,NA,NA,2,0.6,0.014
"36",2020-04-08,1,1,0.005,0,0,0,1,0.7,0.016
"37",2020-04-09,2,1.3,0.006,1,0.1,0.005,2,1,0.023
"38",2020-04-10,0,1.3,0.006,0,0.1,0.005,0,1,0.023
"39",2020-04-11,2,1,0.005,0,0.1,0.005,2,1.3,0.029
"40",2020-04-12,1,1.1,0.005,NA,NA,NA,0,1.1,0.025
"41",2020-04-13,0,1,0.005,NA,NA,NA,0,1,0.023
