"","...1","Fecha","CVEGEO","MUNICIPIO","CASOS","NUEVOS","Dias_ult","clasfdias","id"
"1",57412,2022-07-12,"26001","Aconchi",54,1,0,1,"26001"
"2",58182,2022-07-23,"26002","Agua Prieta",2551,4,0,1,"26002"
"3",58212,2022-07-23,"26003","Álamos",1140,12,0,1,"26003"
"4",57994,2022-07-20,"26004","Altar",216,1,0,1,"26004"
"5",58010,2022-07-20,"26005","Arivechi",80,2,0,1,"26005"
"6",54948,2022-06-08,"26006","Arizpe",59,-13,0,1,"26006"
"7",47814,2022-01-26,"26007","Átil",62,2,0,1,"26007"
"8",47744,2022-01-26,"26008","Bacadéhuachi",8,1,0,1,"26008"
"9",58249,2022-07-23,"26009","Bacanora",36,1,0,1,"26009"
"10",54954,2022-06-08,"26010","Bacerac",33,-3,0,1,"26010"
"11",57942,2022-07-19,"26011","Bacoachi",76,1,0,1,"26011"
"12",58184,2022-07-23,"26012","Bácum",721,4,0,1,"26012"
"13",56605,2022-07-01,"26013","Banámichi",109,6,0,1,"26013"
"14",57090,2022-07-08,"26014","Baviácora",213,1,0,1,"26014"
"15",54941,2022-06-08,"26015","Bavispe",13,-7,0,1,"26015"
"16",58222,2022-07-23,"26016","Benjamín Hill",161,2,0,1,"26016"
"17",58186,2022-07-23,"26017","Caborca",7002,31,0,1,"26017"
"18",58187,2022-07-23,"26018","Cajeme",32270,300,0,1,"26018"
"19",58188,2022-07-23,"26019","Cananea",4330,2,0,1,"26019"
"20",56977,2022-07-06,"26020","Carbó",87,1,0,1,"26020"
"21",57438,2022-07-12,"26021","La Colorada",14,1,0,1,"26021"
"22",56483,2022-06-29,"26022","Cucurpe",43,1,0,1,"26022"
"23",58224,2022-07-23,"26023","Cumpas",214,3,0,1,"26023"
"24",54959,2022-06-08,"26024","Divisaderos",10,-5,0,1,"26024"
"25",58189,2022-07-23,"26025","Empalme",3951,13,0,1,"26025"
"26",58190,2022-07-23,"26026","Etchojoa",1489,6,0,1,"26026"
"27",58118,2022-07-22,"26027","Fronteras",70,1,0,1,"26027"
"28",54957,2022-06-08,"26028","Granados",54,-8,0,1,"26028"
"29",58192,2022-07-23,"26029","Guaymas",8570,19,0,1,"26029"
"30",58193,2022-07-23,"26030","Hermosillo",74952,314,0,1,"26030"
"31",55977,2022-06-22,"26031","Huachinera",10,1,0,1,"26031"
"32",54940,2022-06-08,"26032","Huásabas",21,-3,0,1,"26032"
"33",58194,2022-07-23,"26033","Huatabampo",3257,19,0,1,"26033"
"34",56589,2022-07-01,"26034","Huépac",14,1,0,1,"26034"
"35",57486,2022-07-13,"26035","Imuris",209,1,0,1,"26035"
"36",58123,2022-07-22,"26036","Magdalena",1777,4,0,1,"26036"
"37",57646,2022-07-15,"26037","Mazatán",33,3,0,1,"26037"
"38",58219,2022-07-23,"26038","Moctezuma",251,2,0,1,"26038"
"39",57630,2022-07-15,"26039","Naco",75,2,0,1,"26039"
"40",54952,2022-06-08,"26040","Nácori Chico",72,-12,0,1,"26040"
"41",58197,2022-07-23,"26041","Nacozari de García",908,5,0,1,"26041"
"42",58198,2022-07-23,"26042","Navojoa",8411,7,0,1,"26042"
"43",58199,2022-07-23,"26043","Nogales",12469,74,0,1,"26043"
"44",54932,2022-06-08,"26044","Ónavas",8,-6,0,1,"26044"
"45",57616,2022-07-15,"26045","Opodepe",10,1,0,1,"26045"
"46",54946,2022-06-08,"26046","Oquitoa",7,-2,0,1,"26046"
"47",58055,2022-07-21,"26047","Pitiquito",591,2,0,1,"26047"
"48",58202,2022-07-23,"26048","Puerto Peñasco",2264,1,0,1,"26048"
"49",58238,2022-07-23,"26049","Quiriego",143,1,0,1,"26049"
"50",54960,2022-06-08,"26050","Rayón",26,-5,0,1,"26050"
"51",56918,2022-07-05,"26051","Rosario",189,2,0,1,"26051"
"52",58203,2022-07-23,"26052","Sahuaripa",388,1,0,1,"26052"
"53",58027,2022-07-20,"26053","San Felipe de Jesús",10,1,0,1,"26053"
"54",54966,2022-06-08,"26054","San Javier",13,-3,0,1,"26054"
"55",58204,2022-07-23,"26055","San Luis Río Colorado",10099,13,0,1,"26055"
"56",58090,2022-07-21,"26056","San Miguel de Horcasitas",140,1,0,1,"26056"
"57",57597,2022-07-14,"26057","San Pedro de la Cueva",19,1,0,1,"26057"
"58",58205,2022-07-23,"26058","Santa Ana",1275,8,0,1,"26058"
"59",54962,2022-06-08,"26059","Santa Cruz",6,-2,0,1,"26059"
"60",58206,2022-07-23,"26060","Sáric",104,6,0,1,"26060"
"61",54967,2022-06-08,"26061","Soyopa",4,-1,0,1,"26061"
"62",57520,2022-07-13,"26062","Suaqui Grande",62,1,0,1,"26062"
"63",57513,2022-07-13,"26063","Tepache",15,1,0,1,"26063"
"64",58227,2022-07-23,"26064","Trincheras",21,1,0,1,"26064"
"65",58223,2022-07-23,"26065","Tubutama",45,2,0,1,"26065"
"66",58207,2022-07-23,"26066","Ures",343,1,0,1,"26066"
"67",54923,2022-06-08,"26067","Villa Hidalgo",22,-10,0,1,"26067"
"68",57125,2022-07-08,"26068","Villa Pesqueira",24,1,0,1,"26068"
"69",58248,2022-07-23,"26069","Yécora",110,1,0,1,"26069"
"70",57480,2022-07-13,"26070","General Plutarco Elías Calles",739,1,0,1,"26070"
"71",58221,2022-07-23,"26071","Benito Juárez",1060,1,0,1,"26071"
"72",57717,2022-07-16,"26072","San Ignacio Río Muerto",423,1,0,1,"26072"
"73",56895,2022-07-05,"26999","Sin municipio registrado",3,1,0,1,"26999"
