"fecha_reporte","Casos.acumulados","Casos.diarios","Decesos.acumulados","Decesos.diarios","Casos.acumulados.hmo","Casos.diarios.hmo","Decesos.acumulados.hmo","Decesos.diarios.hmo","Recuperados.acumulados"
2021-09-01,101128,371,7584,36,43769,85,2451,14,91219
2021-09-02,101570,442,7610,26,43897,128,2458,7,91583
2021-09-03,101970,400,7630,20,44054,157,2466,8,92032
2021-09-04,102493,523,7655,25,44247,193,2479,13,92429
2021-09-05,102633,140,7670,15,44294,47,2482,3,92748
2021-09-06,102781,148,7680,10,44344,50,2485,3,93076
2021-09-07,103058,277,7714,34,44414,70,2497,12,93346
2021-09-08,103381,323,7746,32,44501,87,2511,14,93663
2021-09-09,103684,303,7768,22,44591,90,2518,7,93933
2021-09-10,104026,342,7784,16,44671,80,2524,6,94235
2021-09-11,104334,308,7800,16,44780,109,2533,9,94569
2021-09-12,104450,116,7811,11,44838,58,2535,2,94887
2021-09-13,104551,101,7816,5,44873,35,2537,2,95149
2021-09-14,104883,332,7831,15,44963,90,2543,6,95426
2021-09-15,105285,402,7852,21,45112,149,2545,2,95720
2021-09-16,105434,149,7904,52,45147,35,2549,4,95881
2021-09-17,105477,43,7909,5,45161,14,2549,0,96081
2021-09-18,105824,347,7926,17,45281,120,2552,3,96308
2021-09-19,105905,81,7933,7,45308,27,2552,0,96543
2021-09-20,105985,80,7946,13,45329,21,2557,5,96754
2021-09-21,106245,260,7960,14,45412,83,2560,3,96939
2021-09-22,106531,286,7984,24,45509,97,2567,7,97143
2021-09-23,106809,278,8010,26,45626,117,2582,15,97370
2021-09-24,107076,267,8056,46,45716,90,2610,28,97637
2021-09-25,107302,226,8112,56,45802,86,2640,30,97801
2021-09-26,107363,61,8121,9,45827,25,2642,2,97952
2021-09-27,107453,90,8128,7,45851,24,2643,1,98115
2021-09-28,107667,214,8150,22,45930,79,2656,13,98292
2021-09-29,107848,181,8175,25,45998,68,2664,8,98493
2021-09-30,108043,195,8196,21,46068,70,2667,3,98663
2021-10-01,108228,185,8213,17,46131,63,2669,2,98900
2021-10-02,108411,183,8226,13,46188,57,2673,4,99090
2021-10-03,108479,68,8233,7,46202,14,2675,2,99257
2021-10-04,108523,44,8235,2,46224,22,2676,1,99439
2021-10-05,108682,159,8254,19,46265,41,2681,5,99556
2021-10-06,108927,245,8271,17,46353,88,2689,8,99733
2021-10-07,109119,192,8277,6,46400,47,2691,2,99879
2021-10-08,109248,129,8287,10,46435,35,2693,2,100043
2021-10-09,109411,163,8298,11,46494,59,2699,6,100177
2021-10-10,109452,41,8300,2,46504,10,2699,0,100289
2021-10-11,109492,40,8305,5,46520,16,2699,0,100386
2021-10-12,109640,148,8308,3,46566,46,2700,1,100496
2021-10-13,109781,141,8316,8,46589,23,2700,0,100596
2021-10-14,109919,138,8319,3,46616,27,2702,2,100707
2021-10-15,110059,140,8326,7,46649,33,2701,-1,100857
2021-10-16,110178,119,8335,9,46678,29,2702,1,100998
2021-10-17,110220,42,8340,5,46698,20,2704,2,101097
2021-10-18,110254,34,8344,4,46711,13,2704,0,101224
2021-10-19,110413,159,8354,10,46750,39,2705,1,101340
2021-10-20,110567,154,8359,5,46778,28,2707,2,101473
2021-10-21,110705,138,8365,6,46822,44,2709,2,101614
2021-10-22,110907,202,8375,10,46878,56,2709,0,101737
2021-10-23,111069,162,8389,14,46934,56,2713,4,101890
2021-10-24,111107,38,8391,2,46952,18,2714,1,102021
2021-10-25,111140,33,8393,2,46958,6,2714,0,102131
2021-10-26,111346,206,8404,11,47037,79,2716,2,102254
2021-10-27,111534,188,8418,14,47073,36,2717,1,102348
2021-10-28,111710,176,8438,20,47124,51,2718,1,102447
2021-10-29,111851,141,8449,11,47182,58,2722,4,102585
2021-10-30,111992,141,8450,1,47235,53,2722,0,102729
2021-10-31,112063,71,8474,24,47253,18,2722,0,102798
2021-11-01,112091,28,8482,8,47262,9,2726,4,102898
2021-11-02,112259,168,8495,13,47323,61,2728,2,103046
2021-11-03,112358,99,8499,4,47344,21,2728,0,103178
2021-11-04,112555,197,8510,11,47402,58,2728,0,103280
2021-11-05,112808,253,8523,13,47493,91,2731,3,103467
2021-11-06,113040,232,8529,6,47595,102,2733,2,103637
2021-11-07,113110,70,8531,2,47625,30,2733,0,103729
2021-11-08,113149,39,8535,4,47634,9,2736,3,103823
2021-11-09,113388,239,8545,10,47739,105,2738,2,103929
2021-11-10,113603,215,8558,13,47813,74,2738,0,104047
2021-11-11,113811,208,8571,13,47897,84,2742,4,104147
2021-11-12,114071,260,8581,10,47976,79,2743,1,104294
2021-11-13,114294,223,8585,4,48070,94,2743,0,104409
2021-11-14,114350,56,8587,2,48091,21,2743,0,104544
2021-11-15,114384,34,8590,3,48102,11,2743,0,104707
2021-11-16,114443,59,8595,5,48120,18,2743,0,104828
2021-11-17,114711,268,8606,11,48246,126,2745,2,104971
2021-11-18,114981,270,8622,16,48361,115,2751,6,105125
2021-11-19,115266,285,8633,11,48468,107,2752,1,105306
2021-11-20,115523,257,8641,8,48564,96,2755,3,105520
2021-11-21,115637,114,8643,2,48625,61,2756,1,105728
2021-11-22,115715,78,8644,1,48657,32,2756,0,105864
2021-11-23,116083,368,8657,13,48778,121,2758,2,106006
2021-11-24,116390,307,8671,14,48886,108,2765,7,106173
2021-11-25,116673,283,8686,15,49019,133,2769,4,106317
2021-11-26,117046,373,8690,4,49189,170,2771,2,106504
2021-11-27,117277,231,8703,13,49261,72,2776,5,106695
2021-11-28,117403,126,8710,7,49311,50,2777,1,106959
2021-11-29,117455,52,8716,6,49338,27,2779,2,107197
2021-11-30,117839,384,8734,18,49536,198,2788,9,107399
2021-12-01,118138,299,8746,12,49672,136,2792,4,107614
