"","Fecha","Analizados","Pruebas","Confirmados_lab","Descartados_lab","Sospechosos","Confirmados","C_M","C_H","Decesos","D_M","D_H","Ambulatorios","Hospitalizados","Graves","Criticos","UCI","Recuperados","Activos","Hospitalizados.Activos","Ambulatorios.Activos","Decesos.Activos","C_IMSS","D_IMSS","C_SSA","D_SSA","C_Estatal","D_Estatal","C_Municipal","D_Municipal","C_ISSSTE","D_ISSSTE","C_Privada","D_Privada","C_SEDENA","D_SEDENA","C_SEMAR","D_SEMAR","C_PEMEX","D_PEMEX","C_0_14","D_0_14","C_15_29","D_15_29","C_30_59","D_30_59","C_60_mas","D_60_mas","Positividad.acum","diasemana","Analizados.semana","Casos.semana","Confirmados.semana","hospitalizados.semana","Decesos.semana","Pruebas.semana","Sospechosos.semana","Recuperados.semana","Positividad.semanal","ISSSTESON","pctj_menores","MUNICIPIO.x","casos.hmo","MUNICIPIO.y","decesos.hmo","casos.resto","decesos.resto","POB","mortalidad","incidencia","inciact"
"1",2020-04-18,835,673,113,560,162,113,55,58,11,9,2,70,43,224,52,3,57,45,13,32,0,26,4,80,0,4,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8,"sábado",0,0,0,-70,0,0,0,0,NA,0,NA,"Hermosillo",33,"Hermosillo",1,-33,-1,2944840,0,0,1.5
"2",2020-04-25,1081,998,150,848,83,150,75,75,20,15,5,97,53,289,64,5,103,29,5,22,2,47,8,93,0,5,2,0,0,4,0,1,0,0,0,0,0,0,0,-1,0,1,0,29,3,8,6,15,"sábado",246,37,37,10,9,325,-79,46,11.4,1,-2.7,"Hermosillo",0,"Hermosillo",1,37,8,2944840,3.1,1.3,1
"3",2020-05-02,1510,1294,250,1044,216,250,128,122,24,15,9,173,77,384,88,8,172,55,6,48,1,71,10,151,0,21,3,0,0,5,0,1,0,0,0,1,0,0,0,2,0,23,0,55,1,20,3,19.3,"sábado",429,100,100,24,4,296,133,69,33.8,16,2,"Hermosillo",38,"Hermosillo",2,62,2,2944840,1.4,3.4,1.9
"4",2020-05-09,2117,1777,477,1300,340,477,202,275,31,19,12,352,125,523,140,13,305,142,22,119,1,137,16,292,0,40,3,0,0,6,0,1,0,0,0,1,0,0,0,4,0,57,0,142,3,24,4,26.8,"sábado",607,227,227,48,7,483,124,133,47,19,1.8,"Hermosillo",79,"Hermosillo",2,148,5,2944840,2.4,7.7,4.8
"5",2020-05-16,3137,2508,801,1707,629,801,329,472,43,25,18,618,183,680,205,17,522,237,21,215,1,222,25,494,0,75,3,0,0,7,0,1,0,0,0,2,0,0,0,6,0,58,0,223,2,37,10,31.9,"sábado",1020,324,324,58,12,731,289,217,44.3,35,1.9,"Hermosillo",136,"Hermosillo",2,188,10,2944840,4.1,11,8
"6",2020-05-23,4535,3326,1264,2062,1209,1264,567,697,74,37,37,941,323,1010,362,24,877,321,62,251,8,417,40,710,0,120,3,0,0,13,0,1,0,0,0,2,0,0,0,6,0,78,0,299,15,80,16,38,"sábado",1398,463,463,140,31,818,580,355,56.6,45,1.3,"Hermosillo",153,"Hermosillo",2,310,29,2944840,10.5,15.7,10.9
"7",2020-05-30,6395,4355,1865,2490,2040,1865,851,1014,121,54,67,1385,480,1391,536,34,1412,347,58,274,15,594,63,1037,0,210,8,0,0,18,0,2,0,0,0,3,0,0,0,7,0,104,1,390,22,100,24,42.8,"sábado",1860,601,601,157,47,1029,831,535,58.4,90,1.2,"Hermosillo",235,"Hermosillo",8,366,39,2944840,16,20.4,11.8
"8",2020-06-06,8557,5863,2865,2998,2694,2865,1343,1522,201,81,120,2186,679,1890,755,47,2239,443,48,377,18,897,117,1603,0,324,10,0,0,33,2,4,0,0,0,3,0,0,0,6,0,203,0,627,38,164,42,48.9,"sábado",2162,1000,1000,199,80,1508,654,827,66.3,114,0.6,"Hermosillo",371,"Hermosillo",24,629,56,2944840,27.2,34,15
"9",2020-06-13,11078,7210,3838,3372,3868,3838,1833,2005,284,121,163,2902,936,2513,1034,55,3317,244,47,190,7,1290,162,2076,0,414,12,0,0,50,4,4,0,0,0,3,0,0,0,10,0,186,1,593,31,184,51,53.2,"sábado",2521,973,973,257,83,1347,1174,1078,72.2,90,1,"Hermosillo",283,"Hermosillo",15,690,68,2944840,28.2,33,8.3
"10",2020-06-20,13811,8872,4959,3913,4939,4959,2420,2539,419,174,245,3720,1239,3294,1361,65,4332,222,24,184,14,1595,246,2706,0,568,18,0,0,80,4,5,0,0,0,3,0,0,0,6,0,183,1,713,55,219,79,55.9,"sábado",2733,1121,1121,303,135,1662,1071,1015,67.4,154,0.5,"Hermosillo",296,"Hermosillo",15,825,120,2944840,45.8,38.1,7.5
