"","Fecha","Casos.semana","Decesos.semana","diasemana.x","Hospitalizados.semana","diasemana.y","Casos","Decesos","Hospitalizados"
"1",2020-03-07,0,0,NA,0,"sábado",0,0,0
"2",2020-03-14,6,0,NA,0,"sábado",0.002,0,0
"3",2020-03-21,13,0,"sábado",0,"sábado",0.004,0,0
"4",2020-03-28,27,0,"sábado",7,"sábado",0.008,0,0.01
"5",2020-04-04,37,1,"sábado",11,"sábado",0.011,0.003,0.015
"6",2020-04-11,104,7,"sábado",24,"sábado",0.031,0.018,0.033
"7",2020-04-18,89,10,"sábado",23,"sábado",0.027,0.026,0.032
"8",2020-04-25,149,15,"sábado",24,"sábado",0.045,0.04,0.033
"9",2020-05-02,308,16,"sábado",56,"sábado",0.092,0.042,0.078
"10",2020-05-09,477,11,"sábado",79,"sábado",0.143,0.029,0.11
"11",2020-05-16,895,32,"sábado",135,"sábado",0.269,0.084,0.188
"12",2020-05-23,1337,80,"sábado",255,"sábado",0.401,0.211,0.355
"13",2020-05-30,1566,151,"sábado",339,"sábado",0.47,0.398,0.471
"14",2020-06-06,1721,191,"sábado",468,"sábado",0.516,0.504,0.651
"15",2020-06-13,1810,277,"sábado",555,"sábado",0.543,0.731,0.772
"16",2020-06-20,2176,316,"sábado",666,"sábado",0.653,0.834,0.926
"17",2020-06-27,2636,353,"sábado",719,"sábado",0.791,0.931,1
"18",2020-07-04,3333,368,"sábado",712,"sábado",1,0.971,0.99
"19",2020-07-11,2571,379,"sábado",643,"sábado",0.771,1,0.894
"20",2020-07-18,2214,349,"sábado",522,"sábado",0.664,0.921,0.726
"21",2020-07-25,2325,270,"sábado",411,"sábado",0.698,0.712,0.572
"22",2020-08-01,2166,207,"sábado",303,"sábado",0.65,0.546,0.421
"23",2020-08-08,1649,150,"sábado",249,"sábado",0.495,0.396,0.346
"24",2020-08-15,1727,108,"sábado",198,"sábado",0.518,0.285,0.275
"25",2020-08-22,1355,101,"sábado",154,"sábado",0.407,0.266,0.214
"26",2020-08-29,1173,68,"sábado",132,"sábado",0.352,0.179,0.184
"27",2020-09-05,1010,57,"sábado",92,"sábado",0.303,0.15,0.128
"28",2020-09-12,973,48,"sábado",98,"sábado",0.292,0.127,0.136
"29",2020-09-19,972,37,"sábado",104,"sábado",0.292,0.098,0.145
"30",2020-09-26,1006,42,"sábado",84,"sábado",0.302,0.111,0.117
"31",2020-10-03,1037,45,"sábado",104,"sábado",0.311,0.119,0.145
"32",2020-10-10,869,36,"sábado",109,"sábado",0.261,0.095,0.152
