"","MUNICIPIO","CASOS","DECESOS"
"1","Agua Prieta",2579,305
"2","Bacadéhuachi",8,0
"3","Bácum",722,85
"4","Baviácora",214,12
"5","Caborca",7107,284
"6","Cajeme",33076,1810
"7","Cananea",4374,134
"8","Empalme",3989,218
"9","Etchojoa",1514,172
"10","Fronteras",70,23
"11","Guaymas",8702,587
"12","Hermosillo",75691,3318
"13","Huatabampo",3317,320
"14","Huépac",14,2
"15","Magdalena",1807,117
"16","Nacozari de García",923,72
"17","Navojoa",8542,547
"18","Nogales",12823,702
"19","Opodepe",10,3
"20","Pitiquito",594,35
"21","Puerto Peñasco",2276,126
"22","Sahuaripa",388,15
"23","San Luis Río Colorado",10362,797
"24","Santa Ana",1294,57
"25","Sáric",110,5
"26","Ures",345,23
"27","Villa Hidalgo",22,9
"28","Sin municipio registrado",3,0
"29","General Plutarco Elías Calles",741,33
"30","Banámichi",109,6
"31","Álamos",1165,57
"32","Altar",216,15
"33","Naco",75,18
"34","Aconchi",55,8
"35","Imuris",210,31
"36","Ónavas",8,0
"37","Carbó",87,6
"38","Moctezuma",255,12
"39","Villa Pesqueira",25,1
"40","Benito Juárez",1060,80
"41","Benjamín Hill",165,10
"42","Tubutama",45,0
"43","Cumpas",217,17
"44","Huásabas",21,1
"45","Bavispe",13,3
"46","Trincheras",21,2
"47","San Ignacio Río Muerto",423,59
"48","Arivechi",80,2
"49","Mazatán",39,3
"50","Oquitoa",7,1
"51","Rosario",189,19
"52","Arizpe",59,7
"53","Bacoachi",76,7
"54","Cucurpe",44,3
"55","San Miguel de Horcasitas",144,12
"56","Nácori Chico",72,2
"57","Quiriego",147,9
"58","Bacerac",33,5
"59","Huachinera",10,2
"60","La Colorada",14,3
"61","Granados",54,3
"62","Tepache",15,2
"63","Divisaderos",10,1
"64","Rayón",26,7
"65","San Felipe de Jesús",10,1
"66","Santa Cruz",7,0
"67","Yécora",110,3
"68","Bacanora",36,1
"69","Suaqui Grande",68,3
"70","San Javier",13,0
"71","Soyopa",4,2
"72","Átil",62,0
"73","San Pedro de la Cueva",19,2
